"AY","dev","cum"
1991,12,357.848
1991,24,1124.788
1991,36,1735.33
1991,48,2182.708
1991,60,2745.596
1991,72,3319.994
1991,84,3466.336
1991,96,3606.286
1991,108,3833.515
1991,120,3901.463
1992,12,352.118
1992,24,1236.139
1992,36,2170.033
1992,48,3353.322
1992,60,3799.067
1992,72,4120.063
1992,84,4647.867
1992,96,4914.039
1992,108,5339.085
1993,12,290.507
1993,24,1292.306
1993,36,2218.525
1993,48,3235.179
1993,60,3985.995
1993,72,4132.918
1993,84,4628.91
1993,96,4909.315
1994,12,310.608
1994,24,1418.858
1994,36,2195.047
1994,48,3757.447
1994,60,4029.929
1994,72,4381.982
1994,84,4588.268
1995,12,443.16
1995,24,1136.35
1995,36,2128.333
1995,48,2897.821
1995,60,3402.672
1995,72,3873.311
1996,12,396.132
1996,24,1333.217
1996,36,2180.715
1996,48,2985.752
1996,60,3691.712
1997,12,440.832
1997,24,1288.463
1997,36,2419.861
1997,48,3483.13
1998,12,359.48
1998,24,1421.128
1998,36,2864.498
1999,12,376.686
1999,24,1363.294
2000,12,344.014
