"","subj","item","rt","so"
"94",1,13,1561,1
"221",1,6,959,-1
"341",1,5,582,1
"461",1,9,294,1
"621",1,14,438,-1
"753",1,4,286,-1
"922",1,8,438,-1
"1054",1,10,278,-1
"1192",1,2,542,-1
"1342",1,11,494,1
"1471",1,7,270,1
"1591",1,3,406,1
"1761",1,16,374,-1
"1891",1,15,286,1
"2001",1,1,246,1
"2155",11,5,398,1
"2271",11,13,1280,1
"2402",11,6,5006,-1
"2521",11,11,373,1
"2651",11,8,813,-1
"2781",11,2,603,-1
"2933",11,10,574,-1
"3071",11,9,349,1
"3231",11,16,382,-1
"3361",11,3,366,1
"3531",11,15,362,1
"3641",11,4,430,-1
"3811",11,1,286,1
"3963",11,14,270,-1
"4091",11,7,302,1
"4212",12,11,686,-1
"4341",12,10,626,1
"4481",12,4,1328,1
"4652",12,16,580,1
"4781",12,13,6217,-1
"4911",12,8,1019,1
"5041",12,2,714,1
"5193",12,5,1136,-1
"5311",12,15,642,-1
"5424",12,14,2308,1
"5553",12,3,717,-1
"5724",12,6,641,1
"5841",12,1,1361,-1
"5991",12,9,552,-1
"6151",12,7,742,-1
"6271",14,4,976,1
"6444",14,1,582,-1
"6591",14,6,334,1
"6711",14,13,1360,-1
"6841",14,11,422,-1
"6975",14,9,1128,-1
"7131",14,15,526,-1
"7241",14,2,502,1
"7391",14,7,497,-1
"7512",14,5,695,-1
"7631",14,16,302,1
"7761",14,14,1015,1
"7891",14,10,350,1
"8031",14,8,1641,1
"8161",14,3,494,-1
"8331",15,9,551,1
"8491",15,6,472,-1
"8611",15,3,616,1
"8781",15,4,387,-1
"8951",15,7,385,1
"9071",15,13,342,1
"9201",15,1,238,1
"9351",15,15,607,1
"9461",15,11,263,1
"9591",15,14,287,-1
"9721",15,5,678,1
"9841",15,2,263,-1
"9991",15,10,313,-1
"10131",15,16,294,-1
"10261",15,8,252,-1
"10391",16,16,1373,1
"10521",16,2,353,1
"10671",16,13,335,-1
"10801",16,15,725,-1
"10911",16,5,355,-1
"11031",16,8,910,1
"11161",16,4,395,1
"11331",16,1,340,-1
"11481",16,9,335,-1
"11641",16,14,442,1
"11771",16,11,1072,-1
"11901",16,3,350,-1
"12071",16,7,300,-1
"12191",16,10,433,1
"12331",16,6,270,1
"12451",17,16,597,-1
"12581",17,5,635,1
"12701",17,6,420,-1
"12821",17,7,483,1
"12941",17,2,391,-1
"13091",17,10,676,-1
"13231",17,3,878,1
"13401",17,8,424,-1
"13531",17,14,337,-1
"13661",17,15,494,1
"13771",17,9,531,1
"13931",17,13,897,1
"14061",17,1,417,1
"14211",17,11,383,1
"14341",17,4,345,-1
"14511",18,1,302,-1
"14661",18,11,318,-1
"14791",18,15,510,-1
"14901",18,5,4649,-1
"15021",18,3,1344,-1
"15191",18,8,639,1
"15321",18,14,454,1
"15451",18,10,310,1
"15591",18,6,486,1
"15711",18,4,310,1
"15881",18,9,318,-1
"16041",18,16,294,1
"16171",18,2,301,1
"16321",18,13,238,-1
"16451",18,7,254,-1
"16571",19,7,265,1
"16691",19,13,208,1
"16821",19,10,189,-1
"16961",19,9,224,1
"17121",19,5,241,1
"17241",19,2,251,-1
"17391",19,16,202,-1
"17521",19,3,243,1
"17691",19,11,179,1
"17821",19,1,172,1
"17971",19,6,191,-1
"18091",19,4,194,-1
"18261",19,8,1652,-1
"18391",19,14,196,-1
"18521",19,15,199,1
"18631",2,6,414,1
"18751",2,15,847,-1
"18861",2,11,230,-1
"18991",2,5,390,-1
"19111",2,16,550,1
"19241",2,13,342,-1
"19371",2,14,373,1
"19501",2,3,254,-1
"19671",2,8,582,1
"19801",2,2,278,1
"19951",2,9,389,-1
"20111",2,10,262,1
"20251",2,7,318,-1
"20371",2,1,286,-1
"20521",2,4,734,1
"20691",20,10,1384,1
"20831",20,1,253,-1
"20981",20,3,274,-1
"21151",20,6,238,1
"21271",20,16,330,1
"21401",20,8,1048,1
"21531",20,4,243,1
"21701",20,14,255,1
"21831",20,5,437,-1
"21951",20,7,254,-1
"22071",20,15,265,-1
"22181",20,11,207,-1
"22311",20,13,259,-1
"22441",20,2,243,1
"22591",20,9,197,-1
"22751",21,9,245,1
"22911",21,7,807,1
"23031",21,11,1112,1
"23161",21,13,334,1
"23291",21,5,319,1
"23411",21,4,823,-1
