entity_name,entity_ID,origin_year,origin_period,dev_year,dev_month,cumulative_paid,incremental_paid,premium
Travelers,1,1988,1,1,12,403771,403771,2609072
Travelers,1,1988,1,2,24,985675,581904,2609072
Travelers,1,1988,1,3,36,1342031,356356,2609072
Travelers,1,1988,1,4,48,1581624,239593,2609072
Travelers,1,1988,1,5,60,1735822,154198,2609072
Travelers,1,1988,1,6,72,1833186,97364,2609072
Travelers,1,1988,1,7,84,1907278,74092,2609072
Travelers,1,1988,1,8,96,1966594,59316,2609072
Travelers,1,1988,1,9,108,2006323,39729,2609072
Travelers,1,1988,1,10,120,2036101,29778,2609072
Travelers,1,1989,2,1,12,387173,387173,2693544
Travelers,1,1989,2,2,24,964002,576829,2693544
Travelers,1,1989,2,3,36,1336064,372062,2693544
Travelers,1,1989,2,4,48,1579879,243815,2693544
Travelers,1,1989,2,5,60,1725967,146088,2693544
Travelers,1,1989,2,6,72,1823466,97499,2693544
Travelers,1,1989,2,7,84,1902886,79420,2693544
Travelers,1,1989,2,8,96,1949346,46460,2693544
Travelers,1,1989,2,9,108,1987361,38015,2693544
Travelers,1,1990,3,1,12,420878,420878,2594280
Travelers,1,1990,3,2,24,1037450,616572,2594280
Travelers,1,1990,3,3,36,1401464,364014,2594280
Travelers,1,1990,3,4,48,1603596,202132,2594280
Travelers,1,1990,3,5,60,1729077,125481,2594280
Travelers,1,1990,3,6,72,1821216,92139,2594280
Travelers,1,1990,3,7,84,1877603,56387,2594280
Travelers,1,1990,3,8,96,1919126,41523,2594280
Travelers,1,1991,4,1,12,338323,338323,2608912
Travelers,1,1991,4,2,24,753106,414783,2608912
Travelers,1,1991,4,3,36,1028722,275616,2608912
Travelers,1,1991,4,4,48,1195242,166520,2608912
Travelers,1,1991,4,5,60,1325655,130413,2608912
Travelers,1,1991,4,6,72,1394627,68972,2608912
Travelers,1,1991,4,7,84,1446125,51498,2608912
Travelers,1,1992,5,1,12,257333,257333,2077290
Travelers,1,1992,5,2,24,569336,312003,2077290
Travelers,1,1992,5,3,36,754487,185151,2077290
Travelers,1,1992,5,4,48,892069,137582,2077290
Travelers,1,1992,5,5,60,958314,66245,2077290
Travelers,1,1992,5,6,72,1007479,49165,2077290
Travelers,1,1993,6,1,12,193491,193491,1702614
Travelers,1,1993,6,2,24,423409,229918,1702614
Travelers,1,1993,6,3,36,588652,165243,1702614
Travelers,1,1993,6,4,48,661471,72819,1702614
Travelers,1,1993,6,5,60,712744,51273,1702614
Travelers,1,1994,7,1,12,142352,142352,1438129
Travelers,1,1994,7,2,24,361249,218897,1438129
Travelers,1,1994,7,3,36,463353,102104,1438129
Travelers,1,1994,7,4,48,532889,69536,1438129
Travelers,1,1995,8,1,12,159807,159807,1093063
Travelers,1,1995,8,2,24,312005,152198,1093063
Travelers,1,1995,8,3,36,407799,95794,1093063
Travelers,1,1996,9,1,12,131153,131153,1012224
Travelers,1,1996,9,2,24,351684,220531,1012224
Travelers,1,1997,10,1,12,122030,122030,975878
Hartford Fire,2,1988,1,1,12,154919,154919,1002087
Hartford Fire,2,1988,1,2,24,372113,217194,1002087
Hartford Fire,2,1988,1,3,36,505814,133701,1002087
Hartford Fire,2,1988,1,4,48,587693,81879,1002087
Hartford Fire,2,1988,1,5,60,641978,54285,1002087
Hartford Fire,2,1988,1,6,72,674022,32044,1002087
Hartford Fire,2,1988,1,7,84,696865,22843,1002087
Hartford Fire,2,1988,1,8,96,722347,25482,1002087
Hartford Fire,2,1988,1,9,108,735339,12992,1002087
Hartford Fire,2,1988,1,10,120,744153,8814,1002087
Hartford Fire,2,1989,2,1,12,187286,187286,1110764
Hartford Fire,2,1989,2,2,24,421699,234413,1110764
Hartford Fire,2,1989,2,3,36,569229,147530,1110764
Hartford Fire,2,1989,2,4,48,658926,89697,1110764
Hartford Fire,2,1989,2,5,60,717777,58851,1110764
Hartford Fire,2,1989,2,6,72,755186,37409,1110764
Hartford Fire,2,1989,2,7,84,783869,28683,1110764
Hartford Fire,2,1989,2,8,96,803909,20040,1110764
Hartford Fire,2,1989,2,9,108,816486,12577,1110764
Hartford Fire,2,1989,2,10,120,824714,8228,1110764
Hartford Fire,2,1990,3,1,12,201662,201662,1189574
Hartford Fire,2,1990,3,2,24,520997,319335,1189574
Hartford Fire,2,1990,3,3,36,690094,169097,1189574
Hartford Fire,2,1990,3,4,48,797424,107330,1189574
Hartford Fire,2,1990,3,5,60,860984,63560,1189574
Hartford Fire,2,1990,3,6,72,906541,45557,1189574
Hartford Fire,2,1990,3,7,84,935031,28490,1189574
Hartford Fire,2,1990,3,8,96,954329,19298,1189574
Hartford Fire,2,1990,3,9,108,970135,15806,1189574
Hartford Fire,2,1990,3,10,120,982420,12285,1189574
